image_name,face_height_to_width,eyes_distance_to_width,eyes_nose_to_height,eyes_mouth_to_height,lips_thickness_to_height,lips_length_to_width,nose_mouth_to_height,nose_width_to_width,nose_width_to_eye_distance,eyes_width_to_eyes_height,chin_height_to_height,eyebrows_eyes_to_height,lips_width_to_lips_height,skin_color_r,skin_color_g,skin_color_b,race
10_0_0_20161220222308131.jpg,0.872727273,0.615151515,0.322916667,0.40625,0.135416667,0.366666667,0.083333333,0.166666667,0.270935961,9.666666667,0.239583333,0.135416667,3.102564103,211,155,113,0
10_0_0_20170103200329407.jpg,0.930288462,0.588942308,0.341085271,0.405684755,0.072351421,0.471153846,0.064599483,0.192307692,0.326530612,11.13636364,0.273901809,0.111111111,7,214,164,162,0
10_0_0_20170103200522151.jpg,0.907801418,0.572104019,0.330729167,0.432291667,0.088541667,0.38534279,0.1015625,0.158392435,0.276859504,8.066666667,0.231770833,0.125,4.794117647,230,172,165,0
10_0_0_20170103233459275.jpg,0.884955752,0.610619469,0.325,0.435,0.12,0.309734513,0.11,0.159292035,0.260869565,10.61538462,0.215,0.155,2.916666667,215,148,113,0
10_0_0_20170104013211746.jpg,0.955555556,0.611111111,0.302325581,0.38372093,0.093023256,0.422222222,0.081395349,0.2,0.327272727,9.166666667,0.23255814,0.127906977,4.75,149,106,96,0
10_0_0_20170110220033115.jpg,0.908602151,0.623655914,0.313609467,0.408284024,0.118343195,0.322580645,0.094674556,0.177419355,0.284482759,9.666666667,0.24852071,0.136094675,3,243,209,190,0
10_0_0_20170110220111082.jpg,0.95532646,0.573883162,0.284172662,0.356115108,0.143884892,0.333333333,0.071942446,0.164948454,0.28742515,8.789473684,0.241007194,0.172661871,2.425,236,209,197,0
10_0_0_20170110220235233.jpg,1,0.620437956,0.357664234,0.423357664,0.124087591,0.328467153,0.065693431,0.175182482,0.282352941,7.727272727,0.175182482,0.160583942,2.647058824,214,157,125,0
10_0_0_20170110220255346.jpg,0.85,0.55,0.323529412,0.411764706,0.058823529,0.45,0.088235294,0.2,0.363636364,11,0.264705882,0.176470588,9,225,191,181,0
10_0_0_20170110220316298.jpg,1.024691358,0.604938272,0.337349398,0.397590361,0.084337349,0.456790123,0.060240964,0.222222222,0.367346939,8.166666667,0.240963855,0.120481928,5.285714286,178,128,102,0
10_0_0_20170110220403810.jpg,1.024390244,0.585365854,0.261904762,0.357142857,0.095238095,0.43902439,0.095238095,0.170731707,0.291666667,8,0.238095238,0.095238095,4.5,231,189,180,0
10_0_0_20170110220447314.jpg,0.888888889,0.585858586,0.295454545,0.363636364,0.068181818,0.444444444,0.068181818,0.181818182,0.310344828,8.285714286,0.238636364,0.113636364,7.333333333,192,188,187,0
10_0_0_20170110220503946.jpg,0.957446809,0.606382979,0.314814815,0.381481481,0.114814815,0.510638298,0.066666667,0.205673759,0.339181287,11.4,0.237037037,0.111111111,4.64516129,219,180,165,0
10_0_0_20170110220514186.jpg,0.862745098,0.549019608,0.318181818,0.386363636,0.090909091,0.411764706,0.068181818,0.196078431,0.357142857,9.333333333,0.25,0.136363636,5.25,197,134,97,0
10_0_0_20170110220539329.jpg,1.075949367,0.632911392,0.329411765,0.376470588,0.094117647,0.481012658,0.047058824,0.227848101,0.36,8.333333333,0.235294118,0.141176471,4.75,179,127,103,0
10_0_0_20170110220541850.jpg,0.790836653,0.605577689,0.367758186,0.455919395,0.125944584,0.306772908,0.088161209,0.179282869,0.296052632,10.13333333,0.196473552,0.118387909,3.08,243,215,193,0
10_0_0_20170110220546177.jpg,0.910569106,0.609756098,0.333333333,0.425595238,0.083333333,0.422764228,0.092261905,0.195121951,0.32,10.71428571,0.261904762,0.125,5.571428571,225,187,158,0
10_0_0_20170110220548521.jpg,0.911205074,0.5602537,0.290023202,0.380510441,0.11136891,0.363636364,0.090487239,0.167019027,0.298113208,9.814814815,0.234338747,0.139211137,3.583333333,210,158,127,0
10_0_0_20170110220557169.jpg,0.880681818,0.568181818,0.296774194,0.367741935,0.083870968,0.431818182,0.070967742,0.181818182,0.32,11.11111111,0.258064516,0.129032258,5.846153846,240,222,201,0
10_0_0_20170110220644705.jpg,0.904676259,0.629496403,0.320079523,0.413518887,0.11332008,0.361510791,0.093439364,0.190647482,0.302857143,8.333333333,0.232604374,0.151093439,3.526315789,125,63,56,0
10_0_0_20170110220654150.jpg,1.034482759,0.668965517,0.326666667,0.42,0.113333333,0.324137931,0.093333333,0.193103448,0.288659794,8.818181818,0.226666667,0.12,2.764705882,215,167,139,0
10_0_0_20170110221714752.jpg,0.970954357,0.605809129,0.243589744,0.311965812,0.128205128,0.452282158,0.068376068,0.211618257,0.349315068,8.111111111,0.188034188,0.175213675,3.633333333,224,187,169,0
10_0_0_20170110221719390.jpg,0.915584416,0.584415584,0.29787234,0.397163121,0.085106383,0.37012987,0.09929078,0.168831169,0.288888889,9,0.269503546,0.163120567,4.75,188,153,131,0
10_0_0_20170110221811823.jpg,0.893129771,0.557251908,0.341880342,0.41025641,0.145299145,0.404580153,0.068376068,0.198473282,0.356164384,12.16666667,0.196581197,0.102564103,3.117647059,207,152,118,0
10_0_0_20170110224223937.jpg,0.925925926,0.576719577,0.245714286,0.331428571,0.097142857,0.407407407,0.085714286,0.169312169,0.293577982,9.909090909,0.274285714,0.148571429,4.529411765,211,178,154,0
10_0_0_20170110224238891.jpg,0.957831325,0.65060241,0.34591195,0.459119497,0.100628931,0.409638554,0.113207547,0.210843373,0.324074074,9.818181818,0.226415094,0.125786164,4.25,222,159,149,0
10_0_0_20170110224253445.jpg,0.877934272,0.615023474,0.318181818,0.401069519,0.085561497,0.492957746,0.082887701,0.208920188,0.339694656,9.357142857,0.302139037,0.114973262,6.5625,228,174,142,0
10_0_0_20170110224255796.jpg,0.868327402,0.590747331,0.303278689,0.401639344,0.118852459,0.316725979,0.098360656,0.163701068,0.277108434,9.764705882,0.25,0.12704918,3.068965517,186,158,153,0
10_0_0_20170110224402264.jpg,0.905882353,0.6,0.285714286,0.376623377,0.090909091,0.341176471,0.090909091,0.152941176,0.254901961,8.5,0.272727273,0.12987013,4.142857143,197,175,170,0
10_0_0_20170110224406532.jpg,0.867132867,0.636363636,0.322580645,0.379032258,0.137096774,0.475524476,0.056451613,0.202797203,0.318681319,11.375,0.25,0.169354839,4,199,153,139,0
10_0_0_20170110224416035.jpg,0.797101449,0.565217391,0.345454545,0.436363636,0.090909091,0.391304348,0.090909091,0.188405797,0.333333333,7.8,0.272727273,0.109090909,5.4,224,174,149,0
10_0_0_20170110224500062.jpg,0.910714286,0.651785714,0.333333333,0.401960784,0.088235294,0.473214286,0.068627451,0.232142857,0.356164384,12.16666667,0.235294118,0.137254902,5.888888889,224,172,138,0
10_0_0_20170110224524253.jpg,0.961748634,0.628415301,0.306818182,0.383522727,0.099431818,0.472677596,0.076704545,0.210382514,0.334782609,10.45454545,0.221590909,0.133522727,4.942857143,177,134,119,0
10_0_0_20170110224725285.jpg,0.99001996,0.620758483,0.308467742,0.368951613,0.098790323,0.437125749,0.060483871,0.22754491,0.366559486,8.885714286,0.215725806,0.137096774,4.469387755,236,202,190,0
